Common_Name;Weight;Brain_Weight;Chewing_Rate;B_B_Ratio;Environment;Group;Group_Simple;Order;Mastication;Congregatory;Group_Size;Chewing_Rate.1;Median;Beak_Length;Beak_Width;Beak_Depth
Rhynochetos jubatus;-0,04575749;-2,161628318;NA;47,24097231;Closed;Aves;Aves;Eurypygiformes;No;Yes;0,477121255;NA;3,80743311;13;3,2;3,1
Gavia stellata;0,23653726;-2,000704587;NA;-8,45830626;Shore;Aves;Aves;Gaviiformes;No;Yes;2,781036939;NA;5,02393811;11,4;4,4;4,9
Corythaeola cristata;0,01135895;-2,129068766;NA;-187,4353497;Closed;Aves;Aves;Musophagiformes;No;Yes;0,812913357;NA;8,16141153;8,6;2,5;3,7
Acanthisitta chloris;-2,18708664;-3,382305206;NA;1,546488897;Semi-Closed;Aves;Aves;Passeriformes;No;No;0,301029996;NA;7,61486622;14;3,3;3,2
Apalis flavida;-2,07058107;-3,315890541;NA;1,601429951;Semi-Closed;Aves;Aves;Passeriformes;No;No;0,301029996;NA;3,20165685;15,7;4,4;4,6
Chiroxiphia pareola;-1,56066731;-3,190036478;NA;2,044020822;Semi-Closed;Aves;Aves;Passeriformes;No;No;0,301029996;NA;4,37359215;70,8;9,7;21
Cinclosoma punctatum;-0,94692156;-2,660357789;NA;2,809480639;Semi-Closed;Aves;Aves;Passeriformes;No;No;0,301029996;NA;3,5524607;98,9;27,5;35,2
Cormobates leucophaea;-1,70996539;-3,091514981;NA;1,80794009;Closed;Aves;Aves;Passeriformes;No;No;0,301029996;NA;3,94170195;53,8;5,4;7
Donacobius atricapilla;-1,43770714;-2,95511715;NA;2,055437486;Semi-Closed;Aves;Aves;Passeriformes;No;No;0,301029996;NA;6,8629017;41,1;9,2;8,4
Mohoua ochrocephala;-1,5214335;-3,002845839;NA;1,973695097;Semi-Closed;Aves;Aves;Passeriformes;No;No;0,477121255;NA;9,375;48,1;6,2;10,2
Myadestes townsendi;-1,48811664;-2,983853373;NA;2,005120629;Closed;Aves;Aves;Passeriformes;No;No;0,301029996;NA;4,85280433;41,3;11,9;14,4
Toxorhamphus novaeguineae;-1,838632;-3,183666652;NA;1,731540978;Closed;Aves;Aves;Passeriformes;No;No;0,301029996;NA;3,80743311;49,3;22,4;44,3
Phoeniconaias minor;0,24303805;-2,155522824;NA;-8,869075538;Shore;Aves;Aves;Phoenicopteriformes;No;Yes;6,099507994;NA;4,37359215;17,9;3,8;4,9
Picus sharpei;-0,71219827;-2,541536683;NA;3,568580254;Semi-Closed;Aves;Aves;Piciformes;No;No;0,301029996;NA;7,61486622;60,2;10,2;23,4
Podiceps grisegena;-0,06273293;-2,171305264;NA;34,61188986;Shore;Aves;Aves;Podecipediformes;No;Yes;1,041392685;NA;4,22461154;30,4;8,2;15,2
Fulmarus glacialis;-0,11492162;-2,201055725;NA;19,15266879;Shore;Aves;Aves;Procellariiformes;No;Yes;5,397943483;NA;8,16141153;81,5;32,2;17,7
Pterocles namaqua;-0,76955108;-2,57423098;NA;3,345107358;Open;Aves;Aves;Pterocliformes;No;Yes;2,217483944;NA;7,10492141;30,9;5,4;4,5
Crypturellus obsoletus;-0,3439018;-2,331587181;NA;6,77980511;Closed;Aves;Aves;Tinamiformes;No;No;0,301029996;NA;3,5524607;20,3;8,2;9,1
