Recording;SNR;Common_Name
i1_1;32,09143966;White Brested Mesite
i2_1;37,81543864;White Brested Mesite
i3_1;36,31584612;White Brested Mesite
i4_1;48,19454768;White Brested Mesite
i5_1;37,81483185;White Brested Mesite
i1_1;57,03846035;White Throated Treecreeper
i2_1;53,45010465;White Throated Treecreeper
i3_1;37,25523709;White Throated Treecreeper
i4_1;47,25184083;White Throated Treecreeper
i5_1;60,91144016;White Throated Treecreeper
i1_1;43,52341203;Whooper Swan
i2_1;37,34538272;Whooper Swan
i3_1;53,60678385;Whooper Swan
i4_1;38,04160053;Whooper Swan
i5_1;42,99383455;Whooper Swan
i1_1;31,45430676;Yellow Bellied Longbill
i2_1;42,27069633;Yellow Bellied Longbill
i3_1;43,1466546;Yellow Bellied Longbill
i4_1;31,01731093;Yellow Bellied Longbill
i5_1;26,56175056;Yellow Bellied Longbill
i1_1;50,85279848;Yellow Breasted Apalis
i2_1;40,64110017;Yellow Breasted Apalis
i3_1;74,07488578;Yellow Breasted Apalis
i4_1;44,38646821;Yellow Breasted Apalis
i5_1;41,30466222;Yellow Breasted Apalis
i1_1;37,02476818;Yellowhead
i2_1;47,39718304;Yellowhead
i3_1;35,9911751;Yellowhead
i4_1;35,25928852;Yellowhead
i5_1;38,0866881;Yellowhead
