Rhythm_vocal_subset
Group,Group_Simple,Order,Common_Name,Dominant_Frequency,Log_Dominant_Frequency,Scientific_Name,Scientific_Name_.Replacement_Species.,Frequency,Log_Frequency,Weight,Log_Weight,Environement,Mastication,Vocal_Repertoire
155,Aves,Aves,Columbiformes,Stock Dove,344.53125,2.53722862,Columba oenas,Columba livia,1.05615289,0.02372679,0.4605,-0.33677037,Semi-Closed,3
156,Aves,Aves,Columbiformes,Stock Dove,366.0644531,2.563557559,Columba oenas,Columba livia,1.13195664,0.05382979,0.4605,-0.33677037,Semi-Closed,3
157,Aves,Aves,Columbiformes,Stock Dove,430.6640625,2.634138633,Columba oenas,Columba livia,1.13195664,0.05382979,0.4605,-0.33677037,Semi-Closed,3
158,Aves,Aves,Passeriformes,Townsends Solitaire,3165.380859,3.500425972,Myadestes townsendi,Myadestesmyadestinus,4.85280433,0.68599278,0.0325,-1.48811664,Closed,5
159,Aves,Aves,Passeriformes,Townsends Solitaire,3057.714844,3.485396982,Myadestes townsendi,Myadestesmyadestinus,5.97450294,0.77630178,0.0325,-1.48811664,Closed,5
160,Aves,Aves,Passeriformes,Townsends Solitaire,3875.976563,3.588381142,Myadestes townsendi,Myadestesmyadestinus,4.08070577,0.61073528,0.0325,-1.48811664,Closed,5
161,Aves,Aves,Passeriformes,Townsends Solitaire,4608.105469,3.663522411,Myadestes townsendi,Myadestesmyadestinus,4.85280433,0.68599278,0.0325,-1.48811664,Closed,5
162,Aves,Aves,Passeriformes,Townsends Solitaire,3014.648438,3.479236673,Myadestes townsendi,Myadestesmyadestinus,4.37359215,0.64083828,0.0325,-1.48811664,Closed,5
163,Aves,Aves,Charadriiformes,Wattled Jacana,3531.445313,3.547952485,Jacana jacana,Jacana jacana,3.09259667,0.49032328,0.05205,-1.28357927,Shore,5
164,Aves,Aves,Charadriiformes,Wattled Jacana,3079.248047,3.488444675,Jacana jacana,Jacana jacana,4.85280433,0.68599278,0.05205,-1.28357927,Shore,5
165,Aves,Aves,Charadriiformes,Wattled Jacana,2971.582031,3.472987724,Jacana jacana,Jacana jacana,5.77098944,0.76125028,0.05205,-1.28357927,Shore,5
166,Aves,Aves,Charadriiformes,Wattled Jacana,3488.378906,3.542623652,Jacana jacana,Jacana jacana,5.77098944,0.76125028,0.05205,-1.28357927,Shore,5
167,Aves,Aves,Charadriiformes,Wattled Jacana,3100.78125,3.491471129,Jacana jacana,Jacana jacana,4.85280433,0.68599278,0.05205,-1.28357927,Shore,5
168,Aves,Aves,Charadriiformes,Whimbrel,2002.587891,3.301591586,Numenius phaeopus,Numenius phaeopus,12.8066274,1.10743478,0.434,-0.36251027,Shore,11
169,Aves,Aves,Charadriiformes,Whimbrel,1593.457031,3.202340357,Numenius phaeopus,Numenius phaeopus,12.3703867,1.09238328,0.434,-0.36251027,Shore,11
170,Aves,Aves,Charadriiformes,Whimbrel,2304.052734,3.362492415,Numenius phaeopus,Numenius phaeopus,8.7471843,0.94186828,0.434,-0.36251027,Shore,11
171,Aves,Aves,Charadriiformes,Whimbrel,2648.583984,3.423013749,Numenius phaeopus,Numenius phaeopus,11.1488167,1.04722878,0.434,-0.36251027,Shore,11
172,Aves,Aves,Charadriiformes,Whimbrel,2497.851563,3.397566626,Numenius phaeopus,Numenius phaeopus,9.375,0.97197128,0.434,-0.36251027,Shore,11
173,Aves,Aves,Mesitornithiformes,White Brested Mesite,2863.916016,3.456960278,Mesitornis variegatus,Mesitornis unicolor ,0.85786271,-0.06658221,0.107,-0.97061622,Closed,4
174,Aves,Aves,Mesitornithiformes,White Brested Mesite,3251.513672,3.512085584,Mesitornis variegatus,Mesitornis unicolor ,0.95185828,-0.02142771,0.107,-0.97061622,Closed,4
175,Aves,Aves,Mesitornithiformes,White Brested Mesite,3229.980469,3.509199896,Mesitornis variegatus,Mesitornis unicolor ,0.91943449,-0.03647921,0.107,-0.97061622,Closed,4
176,Aves,Aves,Mesitornithiformes,White Brested Mesite,2906.982422,3.463442406,Mesitornis variegatus,Mesitornis unicolor ,1.05615289,0.02372679,0.107,-0.97061622,Closed,4
177,Aves,Aves,Mesitornithiformes,White Brested Mesite,2928.515625,3.466647546,Mesitornis variegatus,Mesitornis unicolor ,1.09339804,0.03877829,0.107,-0.97061622,Closed,4
178,Aves,Aves,Anseriformes,Whooper Swan,839.7949219,2.924173244,Cygnus cygnus,Cygnus olor,3.80743311,0.58063228,09.févr,0.96378783,Shore,6
179,Aves,Aves,Anseriformes,Whooper Swan,796.7285156,2.901310361,Cygnus cygnus,Cygnus olor,1.90371655,0.27960229,09.févr,0.96378783,Shore,6
180,Aves,Aves,Anseriformes,Whooper Swan,667.5292969,2.824470331,Cygnus cygnus,Cygnus olor,3.94170195,0.59568378,09.févr,0.96378783,Shore,6
181,Aves,Aves,Anseriformes,Whooper Swan,602.9296875,2.780266669,Cygnus cygnus,Cygnus olor,5.2011069,0.71609578,09.févr,0.96378783,Shore,6
182,Aves,Aves,Anseriformes,Whooper Swan,782.54862,2.89351133,Cygnus cygnus,Cygnus olor,2.11230577,0.32475679,09.févr,0.96378783,Shore,6
183,Aves,Aves,Anseriformes,Whooper Swan,,,Cygnus cygnus,Cygnus olor,3.80743311,0.58063228,09.févr,0.96378783,Shore,6
184,Aves,Aves,Anseriformes,Whooper Swan,,,Cygnus cygnus,Cygnus olor,4.08070577,0.61073528,09.févr,0.96378783,Shore,6
185,Aves,Aves,Anseriformes,Whooper Swan,,,Cygnus cygnus,Cygnus olor,3.94170195,0.59568378,09.févr,0.96378783,Shore,6
186,Aves,Aves,Anseriformes,Whooper Swan,,,Cygnus cygnus,Cygnus olor,5.2011069,0.71609578,09.févr,0.96378783,Shore,6
187,Aves,Aves,Anseriformes,Whooper Swan,,,Cygnus cygnus,Cygnus olor,2.11230577,0.32475679,09.févr,0.96378783,Shore,6
188,Mammalia,Mammalia,Carnivora,Australian Sea Lion,452.1972656,2.655327932,Neophoca cinerea,Neophoca cinerea,6.8629017,0.83650778,180.5,2.256477206,Shore,6
189,Mammalia,Mammalia,Carnivora,Australian Sea Lion,624.4628906,2.795506635,Neophoca cinerea,Neophoca cinerea,3.94170195,0.59568378,180.5,2.25647721,Shore,6
190,Mammalia,Mammalia,Carnivora,Australian Sea Lion,925.9277344,2.966577093,Neophoca cinerea,Neophoca cinerea,6.62912607,0.82145628,180.5,2.25647721,Shore,6
191,Mammalia,Mammalia,Carnivora,Australian Sea Lion,710.5957031,2.851622577,Neophoca cinerea,Neophoca cinerea,avr.75,0.67094128,180.5,2.25647721,Shore,6
192,Mammalia,Mammalia,Carnivora,Australian Sea Lion,538.3300781,2.731048646,Neophoca cinerea,Neophoca cinerea,5.2011069,0.71609578,180.5,2.25647721,Shore,6
193,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,4.85280433,0.68599278,180.5,2.25647721,Shore,6
194,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,5.77098944,0.76125028,180.5,2.25647721,Shore,6
195,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,5.77098944,0.76125028,180.5,2.25647721,Shore,6
196,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,5.77098944,0.76125028,180.5,2.25647721,Shore,6
197,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,5.77098944,0.76125028,180.5,2.25647721,Shore,6
198,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,5.02393811,0.70104428,180.5,2.25647721,Shore,6
199,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,5.77098944,0.76125028,180.5,2.25647721,Shore,6
200,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,5.77098944,0.76125028,180.5,2.25647721,Shore,6
201,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,8.7471843,0.94186828,180.5,2.25647721,Shore,6
202,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,6.4033137,0.80640478,180.5,2.25647721,Shore,6
203,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,6.4033137,0.80640478,180.5,2.25647721,Shore,6
204,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,5.77098944,0.76125028,180.5,2.25647721,Shore,6
205,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,6.18519333,0.79135328,180.5,2.25647721,Shore,6
206,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,5.97450294,0.77630178,180.5,2.25647721,Shore,6
207,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,6.4033137,0.80640478,180.5,2.25647721,Shore,6
208,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,5.97450294,0.77630178,180.5,2.25647721,Shore,6
209,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,4.22461154,0.62578678,180.5,2.25647721,Shore,6
210,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,avr.75,0.67094128,180.5,2.25647721,Shore,6
211,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,4.52782654,0.65588978,180.5,2.25647721,Shore,6
212,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,4.22461154,0.62578678,180.5,2.25647721,Shore,6
213,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,4.22461154,0.62578678,180.5,2.25647721,Shore,6
214,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,4.22461154,0.62578678,180.5,2.25647721,Shore,6
215,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,5.57440835,0.74619878,180.5,2.25647721,Shore,6
216,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,5.02393811,0.70104428,180.5,2.25647721,Shore,6
217,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,5.38452354,0.73114728,180.5,2.25647721,Shore,6
218,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,5.02393811,0.70104428,180.5,2.25647721,Shore,6
219,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,5.2011069,0.71609578,180.5,2.25647721,Shore,6
220,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,5.77098944,0.76125028,180.5,2.25647721,Shore,6
221,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,5.38452354,0.73114728,180.5,2.25647721,Shore,6
222,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,5.38452354,0.73114728,180.5,2.25647721,Shore,6
223,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,5.38452354,0.73114728,180.5,2.25647721,Shore,6
224,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,5.97450294,0.77630178,180.5,2.25647721,Shore,6
225,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,6.18519333,0.79135328,180.5,2.25647721,Shore,6
226,Mammalia,Mammalia,Carnivora,Australian Sea Lion,,,Neophoca cinerea,Neophoca cinerea,6.18519333,0.79135328,180.5,2.25647721,Shore,6
227,Mammalia,Mammalia,Primates,Bonobo,2024.121094,3.306236491,Pan paniscus,Pan paniscus,0.98542549,-0.00637621,34.5,1.5378191,Closed,16
228,Mammalia,Mammalia,Primates,Bonobo,2583.984375,3.412289883,Pan paniscus,Pan paniscus,2.88549472,0.46022028,34.5,1.5378191,Closed,16
229,Mammalia,Mammalia,Primates,Bonobo,2131.787109,3.328743832,Pan paniscus,Pan paniscus,2.88549472,0.46022028,34.5,1.5378191,Closed,16
230,Mammalia,Mammalia,Primates,Bonobo,2260.986328,3.354297936,Pan paniscus,Pan paniscus,3.94170195,0.59568378,34.5,1.5378191,Closed,16
231,Mammalia,Mammalia,Primates,Bonobo,2885.449219,3.460213436,Pan paniscus,Pan paniscus,3.80743311,0.58063228,34.5,1.5378191,Closed,16
232,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.34375,0.36991129,34.5,1.5378191,Closed,16
233,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.04035288,0.30970529,34.5,1.5378191,Closed,16
234,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.69226177,0.43011728,34.5,1.5378191,Closed,16
235,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.20165685,0.50537478,34.5,1.5378191,Closed,16
236,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,4.37359215,0.64083828,34.5,1.5378191,Closed,16
237,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,1.09339804,0.03877829,34.5,1.5378191,Closed,16
238,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,1.05615289,0.02372679,34.5,1.5378191,Closed,16
239,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,1.97085097,0.29465379,34.5,1.5378191,Closed,16
240,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,1.13195664,0.05382979,34.5,1.5378191,Closed,16
241,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,1.25598453,0.09898429,34.5,1.5378191,Closed,16
242,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,1.83886898,0.26455079,34.5,1.5378191,Closed,16
243,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,0.88811518,-0.05153071,34.5,1.5378191,Closed,16
244,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,1.25598453,0.09898429,34.5,1.5378191,Closed,16
245,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.60055345,0.41506578,34.5,1.5378191,Closed,16
246,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,4.22461154,0.62578678,34.5,1.5378191,Closed,16
247,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.98725147,0.47527178,34.5,1.5378191,Closed,16
248,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.04035288,0.30970529,34.5,1.5378191,Closed,16
249,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.09259667,0.49032328,34.5,1.5378191,Closed,16
250,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,5.77098944,0.76125028,34.5,1.5378191,Closed,16
251,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.78720418,0.44516878,34.5,1.5378191,Closed,16
252,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,1.09339804,0.03877829,34.5,1.5378191,Closed,16
253,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.69226177,0.43011728,34.5,1.5378191,Closed,16
254,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,5.77098944,0.76125028,34.5,1.5378191,Closed,16
255,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,5.97450294,0.77630178,34.5,1.5378191,Closed,16
256,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,5.77098944,0.76125028,34.5,1.5378191,Closed,16
257,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,5.38452354,0.73114728,34.5,1.5378191,Closed,16
258,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,4.08070577,0.61073528,34.5,1.5378191,Closed,16
259,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,5.2011069,0.71609578,34.5,1.5378191,Closed,16
260,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,5.02393811,0.70104428,34.5,1.5378191,Closed,16
261,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,5.97450294,0.77630178,34.5,1.5378191,Closed,16
262,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,5.38452354,0.73114728,34.5,1.5378191,Closed,16
263,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.60055345,0.41506578,34.5,1.5378191,Closed,16
264,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.34375,0.36991129,34.5,1.5378191,Closed,16
265,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.26391327,0.35485979,34.5,1.5378191,Closed,16
266,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,1.49362574,0.17424179,34.5,1.5378191,Closed,16
267,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.69226177,0.43011728,34.5,1.5378191,Closed,16
268,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.51196905,0.40001429,34.5,1.5378191,Closed,16
269,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.60055345,0.41506578,34.5,1.5378191,Closed,16
270,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.60055345,0.41506578,34.5,1.5378191,Closed,16
271,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.20165685,0.50537478,34.5,1.5378191,Closed,16
272,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.98725147,0.47527178,34.5,1.5378191,Closed,16
273,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.98725147,0.47527178,34.5,1.5378191,Closed,16
274,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.04035288,0.30970529,34.5,1.5378191,Closed,16
275,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.60055345,0.41506578,34.5,1.5378191,Closed,16
276,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.20165685,0.50537478,34.5,1.5378191,Closed,16
277,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.26391327,0.35485979,34.5,1.5378191,Closed,16
278,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,1.49362574,0.17424179,34.5,1.5378191,Closed,16
279,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.42640217,0.38496279,34.5,1.5378191,Closed,16
280,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.42640217,0.38496279,34.5,1.5378191,Closed,16
281,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.60055345,0.41506578,34.5,1.5378191,Closed,16
282,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.88549472,0.46022028,34.5,1.5378191,Closed,16
283,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.51196905,0.40001429,34.5,1.5378191,Closed,16
284,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.78720418,0.44516878,34.5,1.5378191,Closed,16
285,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.78720418,0.44516878,34.5,1.5378191,Closed,16
286,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,1.90371655,0.27960229,34.5,1.5378191,Closed,16
287,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.09259667,0.49032328,34.5,1.5378191,Closed,16
288,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.88549472,0.46022028,34.5,1.5378191,Closed,16
289,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.42640217,0.38496279,34.5,1.5378191,Closed,16
290,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.51196905,0.40001429,34.5,1.5378191,Closed,16
291,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.69226177,0.43011728,34.5,1.5378191,Closed,16
292,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.42640217,0.38496279,34.5,1.5378191,Closed,16
293,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.98725147,0.47527178,34.5,1.5378191,Closed,16
294,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.43145085,0.53547778,34.5,1.5378191,Closed,16
295,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.51196905,0.40001429,34.5,1.5378191,Closed,16
296,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.31456304,0.52042628,34.5,1.5378191,Closed,16
297,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.20165685,0.50537478,34.5,1.5378191,Closed,16
298,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.18679607,0.33980829,34.5,1.5378191,Closed,16
299,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.20165685,0.50537478,34.5,1.5378191,Closed,16
300,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.43145085,0.53547778,34.5,1.5378191,Closed,16
301,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.80743311,0.58063228,34.5,1.5378191,Closed,16
302,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.60055345,0.41506578,34.5,1.5378191,Closed,16
303,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.78720418,0.44516878,34.5,1.5378191,Closed,16
304,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.5524607,0.55052928,34.5,1.5378191,Closed,16
305,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.42640217,0.38496279,34.5,1.5378191,Closed,16
306,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.69226177,0.43011728,34.5,1.5378191,Closed,16
307,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.34375,0.36991129,34.5,1.5378191,Closed,16
308,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.80743311,0.58063228,34.5,1.5378191,Closed,16
309,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.20165685,0.50537478,34.5,1.5378191,Closed,16
310,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.42640217,0.38496279,34.5,1.5378191,Closed,16
311,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.69226177,0.43011728,34.5,1.5378191,Closed,16
312,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,1.44274736,0.15919029,34.5,1.5378191,Closed,16
313,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.43145085,0.53547778,34.5,1.5378191,Closed,16
314,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.20165685,0.50537478,34.5,1.5378191,Closed,16
315,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.5524607,0.55052928,34.5,1.5378191,Closed,16
316,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.78720418,0.44516878,34.5,1.5378191,Closed,16
317,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.98725147,0.47527178,34.5,1.5378191,Closed,16
318,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.09259667,0.49032328,34.5,1.5378191,Closed,16
319,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.20165685,0.50537478,34.5,1.5378191,Closed,16
320,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.78720418,0.44516878,34.5,1.5378191,Closed,16
321,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.88549472,0.46022028,34.5,1.5378191,Closed,16
322,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.88549472,0.46022028,34.5,1.5378191,Closed,16
323,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.31456304,0.52042628,34.5,1.5378191,Closed,16
324,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.31456304,0.52042628,34.5,1.5378191,Closed,16
325,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.43145085,0.53547778,34.5,1.5378191,Closed,16
326,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.98725147,0.47527178,34.5,1.5378191,Closed,16
327,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.20165685,0.50537478,34.5,1.5378191,Closed,16
328,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.20165685,0.50537478,34.5,1.5378191,Closed,16
329,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.43145085,0.53547778,34.5,1.5378191,Closed,16
330,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.31456304,0.52042628,34.5,1.5378191,Closed,16
331,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.5524607,0.55052928,34.5,1.5378191,Closed,16
332,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.20165685,0.50537478,34.5,1.5378191,Closed,16
333,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.31456304,0.52042628,34.5,1.5378191,Closed,16
334,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.31456304,0.52042628,34.5,1.5378191,Closed,16
335,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.67773796,0.56558078,34.5,1.5378191,Closed,16
336,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.09259667,0.49032328,34.5,1.5378191,Closed,16
337,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.98725147,0.47527178,34.5,1.5378191,Closed,16
338,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.43145085,0.53547778,34.5,1.5378191,Closed,16
