b_Intercept,b_sigma_Intercept,b_weight,b_masticationYes,b_environmentOpen,b_environmentSemiMClosed,b_environmentShore,b_environmentWater,b_environmentWetland,b_weight:masticationYes,b_sigma_weight,b_sigma_masticationYes,b_sigma_environmentOpen,b_sigma_environmentSemiMClosed,b_sigma_environmentShore,b_sigma_environmentWater,b_sigma_environmentWetland,b_sigma_weight:masticationYes,sd_taxon__Intercept,sd_taxon__weight,sd_taxon__masticationYes,sd_taxon__environmentOpen,sd_taxon__environmentSemiMClosed,sd_taxon__environmentShore,sd_taxon__environmentWater,sd_taxon__environmentWetland,sd_taxon__weight:masticationYes,sd_taxon__sigma_Intercept,sd_taxon__sigma_weight,sd_taxon__sigma_masticationYes,sd_taxon__sigma_environmentOpen,sd_taxon__sigma_environmentSemiMClosed,sd_taxon__sigma_environmentShore,sd_taxon__sigma_environmentWater,sd_taxon__sigma_environmentWetland,sd_taxon__sigma_weight:masticationYes
7.4432999612664,-1.65641420536793,-0.645646502331022,0.469303912744006,0.139617771792722,1.22768408951955,0.331300742541668,2.20731274978239,-3.75059044670125,-0.547927468542234,0.129339242763801,0.171495163086926,0.455894742574824,-0.393105533569594,1.66899206304747,0.674038250269724,1.37832658458362,0.0326673246290812,0.689070076060241,0.0252513643889733,2.76531453331536,0.354946780806919,0.745524629187941,0.481357009377163,4.08310951188724,0.98670722475779,1.07135752639588,1.0495244481926,0.262164800601902,0.54745042989074,0.70757148775776,1.23296300658525,2.25865094889829,2.20825587962609,0.931887152818304,0.150420894731419
8.17562436732439,-2.1036809639842,-0.830679743967548,1.58702486381461,0.159002820151549,0.0373964958538328,-1.13951565975073,0.81909467588524,0.559892527428664,-1.60944746952203,0.245318770679721,0.399597038099738,1.35187250491962,0.982089603310214,-1.10480040457191,1.58641198703529,-0.899530062679154,-0.967005959228476,0.715104634897567,0.187248327591674,3.52144532763473,0.887390543835369,0.640875888143252,1.18130737019404,0.717635012766503,1.23343334309574,1.98106443705744,0.805081970309865,0.309011690504457,0.741769539193815,0.755152269043795,1.61264782269412,1.54228742463706,1.38808180002369,4.02909494900737,0.611305389715187
7.77371073907418,-0.815166846430578,-1.00711780002546,0.786085340679577,0.535055025108494,-0.970969520215487,0.497626479901372,4.62647914434837,0.0129074550584199,-1.66969218976063,0.392785051700814,-0.603928872857466,0.0881903888270785,0.230489414485102,0.164291804519428,0.150098909798803,1.03940521047122,0.27479682587101,0.69622611909574,0.441202607253035,2.54627407174478,0.213836456695924,0.927080979072024,0.810897182545108,3.67761969571307,1.23145039474176,1.45314341211306,1.1977596825618,0.22531428371791,0.32534383348728,0.673910985117448,0.404895575404448,0.66113716368644,0.85546949416317,2.17262632918633,0.059251621910455
7.7280089177561,-2.52704172477084,-0.674772266880734,-0.00440416108043269,0.346546431761649,0.513822283980421,-0.0294808327620272,-1.24565047958104,-1.80899855472122,0.117268773266141,0.0822608856737994,-0.275119632972574,0.32351850240184,0.163635311317543,0.307548479271081,-0.809413629893213,-1.86363473514733,0.0313681180381824,0.802086634187203,0.169995984683411,1.34658351550333,0.0994791304869006,1.34533007915592,0.291672202654329,2.84446817179489,0.374685779858224,1.76518868810011,1.33439639569567,0.215698096082299,0.103517365857945,0.0209564677018215,0.117244636703737,0.152455741170518,1.25785517591757,0.306960498449079,0.575296459402482
7.56595675235522,-3.39282796511479,-0.530564929728612,0.111976322912208,0.272025670927641,0.0190203089362792,-0.55135005548622,1.31303996588815,-6.56122756890253,-0.281505854681791,-0.194333635449114,2.77526761398618,0.961591185406092,0.655095330892971,0.363984180647374,3.16579866731083,-0.385345617017692,0.306844786325595,0.846397976884632,0.143576554637983,2.10029632053728,0.942857906745983,0.933010970991281,0.932582042538912,3.8150217580499,2.76292379584286,0.97881167362778,1.60425202255851,1.27517979298365,2.3496363216407,0.2586429840668,0.508837525070991,0.0393278193732651,1.10490094350178,3.487650883348,1.07283207028831
7.55121337392963,-1.07579250463023,-0.468533703809962,1.65459220934169,0.411591763005733,0.856542501146252,0.420182598649314,-0.634683181009314,0.124343797629384,-2.41841044725727,0.558678440261803,1.06128437608866,0.349914755574303,0.137326063356631,0.302167306354047,2.99217922123385,1.44428952400824,-0.35269855914997,0.820521836220504,0.0912108198140317,1.22561452009264,0.0253100137527485,1.01051264696756,0.605708368082463,0.488083131344771,2.05942855903023,2.00229204431989,1.3158547226401,0.0237258734867521,0.375062856657172,0.359041375207483,0.10131709810221,1.4903566321366,1.74571290363338,2.7072529594569,0.656106368713914
6.36981999056376,-2.26582768337046,-1.18785348318901,2.27242845424121,1.00568040410726,1.14514526407077,0.679474635928962,18.4243474087406,1.31200231436245,0.00718740115949519,0.428547021345591,0.914141963463889,0.740826788396847,0.0216843847715169,-0.341802716222905,-0.0735269972332989,-0.505892936769909,-0.300521686504739,0.676068742849994,0.554005559999668,1.28111742385728,0.592160635537264,1.35808700821154,0.237181949341171,25.5497349094112,2.76424665339466,1.65787279741956,1.25785422662846,0.696760430912971,0.731256780247103,0.738610496755153,0.84401740817041,0.51160388273826,0.569581697845029,2.00991391261163,0.637044886194262
6.80330956154363,-2.46180143982132,0.891881667564079,3.45238918608358,0.909428978094956,1.25831064524925,1.3408928420082,-4.19990310686827,0.870324067571633,-2.86017900771174,0.534323059984561,0.40455753755148,0.430521675334044,-0.128633266720265,-0.733123656473669,3.75533608931164,-1.0373415109019,0.0651420519192163,1.08502325324781,0.616860854897343,3.36517750325216,0.364862424058643,0.702021943293875,1.19118026895296,0.417561861597699,1.39538984447829,1.04044691743479,0.987307676533683,0.482800616579722,0.452288727104297,0.812632523372261,1.45744207427864,0.966269579632351,5.4538358733509,3.16893458907434,0.568106320573112
8.69971280654429,-1.56467120336408,-0.602031522964022,-2.21944155775821,0.499867851786651,0.151672596350724,-1.30481284678089,1.16111092552836,-0.758793329436604,-0.726389582880267,0.00935764799911851,-0.572422469880945,-0.0256416871113571,-0.0367211569826503,-0.272232384380034,0.221768501730714,-1.46767659170776,0.357664731663449,0.943790588311989,0.141016620650913,3.68820872559241,0.534754180056449,0.0784386872383667,1.00949500695299,3.70857770104149,0.273755721330897,0.287628442413639,1.02548167885356,0.0663697135880227,0.623897391211503,0.313633525798234,0.288947384992027,0.425879987680113,1.32868904600852,0.968388090454154,0.0684393120895089
5.79714437776604,-3.26718860979918,-0.98982693156208,1.23061269141555,0.56604579482218,2.33754111046814,0.309859479531012,0.368329243532606,5.56391524243637,1.48739550771165,0.00626333626577314,0.330684930874126,0.354524684306569,0.0924466372573539,-0.144915668633928,6.19967382710041,-3.07194487833552,0.343825549187523,1.10163148317421,0.278412729899559,1.16021088499771,0.0936727379821889,1.69271924769139,2.03297736114894,0.21884479054043,5.5360339424923,1.96380025011399,1.0631121063327,0.339055481667793,1.08762604608716,0.653333314963966,0.253603479254866,1.17011313666417,3.43567121153363,1.5677808044666,0.771688083878982
7.98332946936697,-1.26318836329463,-0.431109496650859,0.460898860529858,0.465191765055449,0.860856008070944,0.0509881886218596,-2.12803089607114,7.55587265537912,0.650097971476801,0.0702497209258874,-0.32815398950012,0.331253601868568,-0.283902500005008,0.448428921425139,-0.135370480350637,-1.84153421652766,1.13012312796994,0.604023042431639,0.57620255811625,0.801940569384715,0.0661951803101734,1.16234724626672,0.781096130273354,1.94065065700076,3.90775049974857,1.91632053251582,1.20527129976074,0.718231779725183,0.522016806738653,1.31776325907066,0.0469444198362374,0.674405999824974,3.45038659075641,0.658050243395093,0.827928418204856
7.44213644088778,-2.20814719719617,-0.636661429905005,-1.12550994244818,0.693643907084655,0.032540605350538,-0.256941337537742,-0.393051889846206,-1.27293638598507,-0.6367995697544,0.187030852469254,1.12074121812992,1.41275122658024,0.53801925596272,0.153476329821343,1.02864338755666,3.88718035959124,0.258161833971274,0.897088803709984,0.0359006923465679,1.92309939629619,0.745383032902774,0.672525741326493,0.611565326881317,4.89736793798921,2.13534857423365,0.988788600355816,1.33021990016095,0.235981538202961,0.0224981848693552,2.0469541349443,1.75161314368231,0.596578833721149,1.93968704967638,2.03567888969839,0.370950338862645
6.74891029242251,-3.11512600951918,-0.603524899660248,1.2518912993126,0.373897172215263,-0.644524015979361,-1.22388910765567,0.336210969804852,-1.44318477776832,-1.01458514076995,0.00495328757012227,0.956427726222956,0.12268177906313,0.525893932318207,-0.0167579258102786,0.0967911739106741,-1.04138079768162,-0.285871945542632,0.651142618473803,0.0872290182005605,1.41393451318365,0.0823748776512943,0.995538025795677,1.21109649079133,4.0331897985281,1.95674254449642,0.531684991848613,1.4564478791899,0.436661821959433,0.555143336715029,0.423955863980781,1.61423964699673,0.0488980283587339,2.02272948327894,0.0713052293431068,0.296933967183232
6.90194240601449,-3.11013600158199,-0.629395759747374,-2.29472371311531,0.425203968574859,-0.0759756259852917,0.605180863232298,6.02473434794298,-4.25525316476898,-0.189893538270973,-0.424182303707542,0.367613957716768,0.454819778227119,-0.415963790140395,1.06338448987135,-0.771690313133663,-0.0112224421655605,0.819053001586357,0.805941983891114,0.28379073762368,3.09389735280888,0.620969188780181,1.25323367714215,0.318476340296413,2.4252940517571,4.54799324937467,0.457766904159298,1.34285101439712,0.503340599967021,0.476769790126967,0.0465323379440352,0.723025823801427,1.33147514777185,3.17009933921223,2.69351004189013,0.396237303516483
7.49249671816533,-2.62404403776421,-0.220410078270872,-0.037638619744356,0.880664261702789,0.246636361856813,0.688763620712869,0.179809674465415,-2.81793852246121,-0.779563100208433,0.317145729184613,0.522640101968948,0.570715897145503,0.0177269708593094,0.796180026815027,0.263309092068815,1.05186836499121,-0.162383258953181,0.887041231771452,0.947185726520075,2.26201462493177,0.287810648044626,0.483394221132237,0.524663751724718,0.283112710365284,0.34656148959267,0.776812053930565,1.20157857577991,0.470816154695951,0.115306287282771,0.708745408080799,0.00663496387974129,1.29407359129977,0.825532644731871,1.07898084162418,0.0098027970717174
